Features,Model,MSE,R²
"Density,PV,LCD,PLD",SK_RF,0.043181725,0.9966632628132297
"Density,PV,LCD,PLD",XG_RF,0.23577632996119954,0.9817810971770543
"Density,PV,LCD,PLD",SK_GB,0.10275740238491472,0.9920597325070877
"Density,PV,LCD,PLD",SK_LR,0.8997979069927186,0.930470838
"GSA,VSA,VF,PV",SK_RF,0.053776066593448774,0.9958446170927017
"GSA,VSA,VF,PV",XG_RF,0.38397815448446915,0.9703292494041372
"GSA,VSA,VF,PV",SK_GB,0.075885613,0.9941361687518571
"GSA,VSA,VF,PV",SK_LR,0.25486094349241206,0.9803063913853581
"GSA,VSA,VF,LCD",SK_RF,0.051829674,0.9959950186625541
"GSA,VSA,VF,LCD",XG_RF,0.38397815448446915,0.9703292494041372
"GSA,VSA,VF,LCD",SK_GB,0.13720317608709015,0.9893980395210089
"GSA,VSA,VF,LCD",SK_LR,0.6190336874283381,0.952166044
"GSA,VSA,VF,PLD",SK_RF,0.056020102,0.9956712160277603
"GSA,VSA,VF,PLD",XG_RF,0.38397815448446915,0.9703292494041372
"GSA,VSA,VF,PLD",SK_GB,0.1433012572861029,0.9889268287392077
"GSA,VSA,VF,PLD",SK_LR,0.7053027764287261,0.9454998610478693
"GSA,VSA,PV,LCD",SK_RF,0.049140019959608094,0.9962028535752124
"GSA,VSA,PV,LCD",XG_RF,0.19755706765603748,0.9847343750825039
"GSA,VSA,PV,LCD",SK_GB,0.10237460607696201,0.9920893119340671
"GSA,VSA,PV,LCD",SK_LR,0.21254276657773002,0.983576401
"GSA,VSA,PV,PLD",SK_RF,0.051820428,0.9959957331149075
"GSA,VSA,PV,PLD",XG_RF,0.19755706765603748,0.9847343750825039
"GSA,VSA,PV,PLD",SK_GB,0.11961311852557333,0.9907572580202366
"GSA,VSA,PV,PLD",SK_LR,0.30192692191179654,0.9766695102479228
"GSA,VSA,LCD,PLD",SK_RF,0.10082079363679967,0.9922093780910772
"GSA,VSA,LCD,PLD",XG_RF,1.7799915297583744,0.8624565378905036
"GSA,VSA,LCD,PLD",SK_GB,0.1742413817262017,0.9865360241974762
"GSA,VSA,LCD,PLD",SK_LR,0.576732365,0.9554347507799541
"GSA,VF,PV,LCD",SK_RF,0.042025807,0.996752583
"GSA,VF,PV,LCD",XG_RF,0.13824167960890826,0.9893177923021791
"GSA,VF,PV,LCD",SK_GB,0.066594699,0.9948540960615918
"GSA,VF,PV,LCD",SK_LR,0.47106558049362063,0.963599832
"GSA,VF,PV,PLD",SK_RF,0.045244006242636026,0.9965039062522053
"GSA,VF,PV,PLD",XG_RF,0.13824167960890826,0.9893177923021791
"GSA,VF,PV,PLD",SK_GB,0.07385707,0.9942929182533793
"GSA,VF,PV,PLD",SK_LR,0.6288920238545883,0.9514042708586653
"GSA,VF,LCD,PLD",SK_RF,0.10276265044766829,0.9920593269789104
"GSA,VF,LCD,PLD",XG_RF,0.3595246480507197,0.9722188201573595
"GSA,VF,LCD,PLD",SK_GB,0.1812052770561701,0.9859979102472474
"GSA,VF,LCD,PLD",SK_LR,1.3253523226180437,0.8975874076251962
"GSA,PV,LCD,PLD",SK_RF,0.066870638,0.9948327736802621
"GSA,PV,LCD,PLD",XG_RF,0.23577632996119954,0.9817810971770543
"GSA,PV,LCD,PLD",SK_GB,0.10174998809505133,0.9921375773995434
"GSA,PV,LCD,PLD",SK_LR,0.48072149345233434,0.9628537004730258
"VSA,VF,PV,LCD",SK_RF,0.041712924,0.9967767599260217
"VSA,VF,PV,LCD",XG_RF,0.13824167960890826,0.9893177923021791
"VSA,VF,PV,LCD",SK_GB,0.068734025,0.9946887861088255
"VSA,VF,PV,LCD",SK_LR,0.8124172565778361,0.937222914
"VSA,VF,PV,PLD",SK_RF,0.045439305,0.9964888151347304
"VSA,VF,PV,PLD",XG_RF,0.13824167960890826,0.9893177923021791
"VSA,VF,PV,PLD",SK_GB,0.074298347,0.9942588199288582
"VSA,VF,PV,PLD",SK_LR,0.8341916712844565,0.9355403615055706
"VSA,VF,LCD,PLD",SK_RF,0.2829398570580839,0.9781366782605884
"VSA,VF,LCD,PLD",XG_RF,0.3595246480507197,0.9722188201573595
"VSA,VF,LCD,PLD",SK_GB,0.3194015685820662,0.9753192097762708
"VSA,VF,LCD,PLD",SK_LR,2.327736152711141,0.8201312287341106
"VSA,PV,LCD,PLD",SK_RF,0.062948729,0.995135827
"VSA,PV,LCD,PLD",XG_RF,0.23577632996119954,0.9817810971770543
"VSA,PV,LCD,PLD",SK_GB,0.099665637,0.992298639
"VSA,PV,LCD,PLD",SK_LR,1.0139744184959858,0.9216481934443065
"VF,PV,LCD,PLD",SK_RF,0.041003571394814996,0.9968315730304277
"VF,PV,LCD,PLD",XG_RF,0.23577632996119954,0.9817810971770543
"VF,PV,LCD,PLD",SK_GB,0.068663088,0.9946942675600629
"VF,PV,LCD,PLD",SK_LR,0.8197236169090535,0.9366583366506835
"Density,GSA,VSA,VF,PV",SK_RF,0.051586783,0.9960137873291289
"Density,GSA,VSA,VF,PV",XG_RF,0.13824167960890826,0.9893177923021791
"Density,GSA,VSA,VF,PV",SK_GB,0.075199092,0.9941892176261836
"Density,GSA,VSA,VF,PV",SK_LR,0.24470063114360427,0.9810914987935707
"Density,GSA,VSA,VF,LCD",SK_RF,0.046904539550486214,0.996375594
"Density,GSA,VSA,VF,LCD",XG_RF,0.3595246480507197,0.9722188201573595
"Density,GSA,VSA,VF,LCD",SK_GB,0.075192859,0.9941896992630223
"Density,GSA,VSA,VF,LCD",SK_LR,0.5977814408841636,0.953808247
