Features,Model,MSE,R²
"Density,GSA,VSA,LCD",XG_RF,0.1351313172582187,0.9895581361459427
"Density,GSA,VSA,LCD",SK_GB,0.1208185043441593,0.9906641154766379
"Density,GSA,VSA,LCD",SK_LR,0.6297652055606309,0.9513367983831552
"Density,GSA,VSA,PLD",SK_RF,0.15986328355538235,0.9876470482489407
"Density,GSA,VSA,PLD",XG_RF,0.17029863195523948,0.986840688261694
"Density,GSA,VSA,PLD",SK_GB,0.15917628136561102,0.9877001342654066
"Density,GSA,VSA,PLD",SK_LR,0.7815342412527112,0.9396093051557339
"Density,GSA,VF,PV",SK_RF,0.05091019863819918,0.9960660683714991
"Density,GSA,VF,PV",XG_RF,0.1220016094163095,0.9905726946103347
"Density,GSA,VF,PV",SK_GB,0.047277685750219005,0.9963467598188557
"Density,GSA,VF,PV",SK_LR,0.6784462556050681,0.9475751174704676
"Density,GSA,VF,LCD",SK_RF,0.04654019496174209,0.9964037471890903
"Density,GSA,VF,LCD",XG_RF,0.07238624652463857,0.9944065717225846
"Density,GSA,VF,LCD",SK_GB,0.047814281172434574,0.9963052960304669
"Density,GSA,VF,LCD",SK_LR,1.4093759309531158,0.8910947374095649
"Density,GSA,VF,PLD",SK_RF,0.048732261957509806,0.9962343618416135
"Density,GSA,VF,PLD",XG_RF,0.07432830084485487,0.9942565053484803
"Density,GSA,VF,PLD",SK_GB,0.04938159638898658,0.9961841864872486
"Density,GSA,VF,PLD",SK_LR,2.0822200847484362,0.8391027403545535
"Density,GSA,PV,LCD",SK_RF,0.04141741227217384,0.9967995947282376
"Density,GSA,PV,LCD",XG_RF,0.21029700452084216,0.9837499349915562
"Density,GSA,PV,LCD",SK_GB,0.054367889374053,0.9957988857772214
"Density,GSA,PV,LCD",SK_LR,0.45825311768441557,0.9645898762578151
"Density,GSA,PV,PLD",SK_RF,0.04448005280308115,0.9965629384437692
"Density,GSA,PV,PLD",XG_RF,0.2063801588113637,0.9840525973977663
"Density,GSA,PV,PLD",SK_GB,0.04942654763542318,0.9961807130156294
"Density,GSA,PV,PLD",SK_LR,0.6259716695068468,0.9516299324086556
